Word,Number,Definitions,Type,Etymology
a,1,indefinite article,indf,"OE ān 'one, a, lone, sole' < PGmc. (num) *ainaz 'one (sg), some (pl)' <PIE *óynos 'one, single'"
a,2,"on (unstressed positions). Also the default in appellation names, ie names that describe a place of origin, eg Leslie a Gairderhoose",prep,"OE an (stress), on (unstressed). Before 1200 unstressed an/on was reduced to a/o (whence eg ashore), unless the following word began with a vowel or h-. Cf. ON á < PN an < PGmc. *ana 'on, onto' < PIE *h₂en- 'up, on high'. Appelation names, ie personal names that include a geographical designation, were formed with á 'on' in Old Norse (along with í 'in'), and are still formed with the descendant på 'on' in the Scandinavian languages, along with the preposition av (< af 'of'), and sometimes i 'in'. Thus Anne of Greengables is Anne på Grönkulla. The use of 'on' rather than 'of' in Shaetlan appellation names may therefore be a remnant of Norn naming practices."
A day o him,0,a notable day,,
a grain,0,a little,adv,
a hunder,0,one hundred,num,
A nicht o him,0,a notable evening/night,,
A piece fae,0,"far away, a long distance from",,
A piece o wark,0,a difficult or complicated thing,,
a thoosand,0,a thousand,num,
aa,0,the whole quantity or extent of a particular group or thing,det,"OE eall 'all, every, entire, whole' < PGmc. *allaz 'all, whole, every' < PIE **h₂el- 'beyond, other'"
Aa my mindeen,0,as long as I can remember,,
aaber,0,"keen, eager; sharp-sighted, observant, watchful,sharp, keen; with sharp outlines, clear and distinct,sharpen, eg knife,stir up and make bright, eg fire",adj,"Shetland specific. ON apr 'sharp, hard, bad' > Sw.dial. aber 'strong, pungent', Faer. apur 'severe, great'"
aaberknot,0,"magical knot, used when casting spells",n,
aaber-up,0,,,
aabody,0,everybody,pro-form,
aafil,0,awful,adv,"< MEng. agheful, awfull, auful, aȝefull< OE eġeful(l) 'terrifying, awful' < awe + ful < early Scand loan, cf. ON agi 'terror, dread, uproar' < PGmc. *agaz 'terror, dread' < PIE *h₂égʰos deriv. *h₂égʰ- 'to be upset, afraid'. Cf. OSw. aghi 'order, discipline' > Sw. aga 'physical disciplinary punishment'"
Aagist,0,August,n,"OE Agust < Lat. A(u)gustus (short for mēnsis Augustus 'month of August') + < Anglo_norm. august, aougost. In the Roman calendar this was the 6th month and called Sextīlis, but in 8 BC it was renamed in honour of Augustus because most of the important events in his rise to power happened in this month"
aaker,0,"ruin, fragments",n,Etym. uncertain
aakwirt,0,"difficult, unwilling",adj,"< awk+ward. MEng. awke, etc < loan from ON afugr ǫfugr, ǫfigr 'turned the wrong way, back foremost' > Sw. avig 'wrong, backwards; awkward; purl (stitch in knitting)'. Ultimately from PGmc. *abuhaz 'turned the wrong way, inverted; bad, wicked' < PIE *h₂époh₃kʷos"
aald,0,old,adj,"Northumbrian OE (h)aald < PGmc. *aldaz 'mature' < PIE *h₂eltós 'grown, tall, big'"
aald daa,0,grandfather; sometimes great-grandfather,n,
Aald English,0,"language variety: collective name for the four very closely related varieties spoken by the Germanic settlers to Britain: Saxons (West Saxon Old English dialect), Jutes (Kentish Old English dialect), Angles (Mercian and Northumbiran Old English dialects). Mercian Old English is the ancestor of English while Northumbrian Old English is the ancestor of Scots.",n,
Aald French,0,"language variety: earlier stage of the French language, spoken in the period between the 8-9C and early 14C.",n,
aald man idda daek,0,,,
aald men,0,"sheets of rain drifting across the land, leaning over diagonally (like old men)",n,
Aald Norse,0,"language variety: North Germanic variety spoken in medieval Scandinavia, Iceland and those parts of northern Europe settled by Norsemen; two main dialect clusters: western and eastern. Western Old Norse is the ancestor of Norwegian, Icelandic, Faroese and Norn (extinct), while Eastern Old Norse is the ancestor of Danish, Swedish and Gutnish. It is debated whether the very archaic Övdalian should be consiedred a descendant of Western or Eastern Old Norse.",n,
aalie-,0,tame; used only in compounds to denote types of tame animals.,n > n,"< ON ali- in compounds for tame animals or animals used for breeding, eg alidýr 'tame animal, domestic animal'"
aalielam,0,"a caddie lamb, ie a bottle fed lamb that has been rejected by the mother",n,
aalmark,0,rogue sheep that jumps over or through fences,n,"almerk, a(a)lmark. Shetland specific. Sugg. orig < ON *allmarka sauðr 'sheep which breaks into land which is common property', cf. No. aalmark 'common'"
aalreidi,0,already,adv,"MEng. alle redi(e), etc. < all + ready"
aamos,0,promised votive gift,n,"NOE ællmessa 'alms' > NOE ælmiso (infl) 'id.' > Sc. amas (pre-1700, Orkn.), aamis/awmis (1900s, Sh.). OE < Lat. *alimosina, var. of elimosina 'charitable gift, benefaction, charitable giving'. Borrowing from WGmc. into later ON almusa, ǫlmusa (> Sw. allmosa). The suggestion that (a)amos/amis/amus is an early Scand. loan is not consistent with the forms of the words, where the Scand. forms rather show consistency with borrowings from WGmc varieties, nor with the idea that a specifically Christian term would be borrowed from ON to OE."
aamos bairn,0,child (typically born on a Sunday) capable of winning alms,n,
aamos body,0,person who deserves alms,n,
aamos kirk,0,church considered to have to power of winning alms,n,
aan,0,own,v,"Sc. awn, ain < NOE agnage 'own' < PGmc. *aiganaz 'own', pptc of *aiganą 'to posess, own, have' < PIE *h₂eyḱ- 'to own, possess, obtain'"
aandoo,0,row gently against the tide so as to keep the boat in position,v,Found only in teh former Norn speaking areas. < ON andøfa 'row gently against the tide to keep boat in position' > No. andøva
aaneen,0,owning,n,
aans,0,heavy part of chaff that is whinnowed away,n,< ON ögn 'husk'
aaper,0,"detain, put off, hinder; recall (eg dog)",v,"Shetland specific. < ON. aptra 'to take back, withdraw' < ON aptr (adv) 'back, again' (> Sw. åter, Da. atter 'id') < PGmc. *aftrą, *aftrē 'back(wards), again, once more' < PIE *h₂ep(o)teros, cf. also > OE æfter > after"
aapløse,0,"offer, make available, make known",v,"Sc. apples(e), ap(p)le(i)s(e), applease; cf. MEng. apleyse. < OFr. a-plaisir 'grace, favour, good course of action'"
aar,0,"grudge, ill-feeling,dislike, fear",n,"Orkney & Shetland specific. Orig. unknown but cf. ON argr 'cowardly, unmanly, indecent; bad, evil' > Sw., Da. arg 'angry'"
aari,0,"bitter; dismal, gloomy, cheerless; eerie",adj,"Sc. oorie, owrie. Orig. uncertain"
aaricht,0,alright,adv,
aarisay,0,,,
aatagidder,0,altogether,adv,
aathin,0,everything,pro-form,"Sc. athing, awthing, aathing, etc"
aawye,0,everywhere,adv,
aback,0,aback,adv,
abandon,0,abandon,v,
abeelity,0,ability,n,"MEng. habilitee, habylyte, etc; ablete, abilte, etc < Anglo-Norm. abilitie, ableté, habileté, habilité, etc < Lat. habilitās 'aptness, ability'"
aber,0,sharp,adj,"Shetland specific. PGmc. *ampraz 'sharp (in taste), sour' > ON apr (<*appr < *ampaR) 'hard, bad; sorrowful' > Scan. aber 'strong, sharp', aver 'bitter'. Prob. infl by amper < MDu amper; cf. amper, sv"
able,0,able,adj,
